tag_code,mark_file_name,site_name,first_time_value,last_time_value,first_antenna_group_name,last_antenna_group_name,release_date_mmddyyyy,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,release_site_name,mark_date_mmddyyyy,mark_site_name,mark_site_code_value,mark_year_yyyy,site_code_value,srr_code,srr_name,count,mark_month,brood_yr,spawn_yr,TRT
384.3B23948E8A,CBB14028.HEV,LC1 - Lower Lolo Creek at rkm 21,2017-04-27T09:36:00Z,2017-05-02T07:57:00Z,SINGLE ARRAY,SINGLE ARRAY,4/18/2014,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2014-01-28,DWOR - Dworshak National Fish Hatchery,DWOR,2014,LC1,32H,Hat. Summer Steelhead,1,1,2013,2017,CRLOL-s
384.3B2395644D,CBB14027.HEV,LC1 - Lower Lolo Creek at rkm 21,2017-04-13T14:45:00Z,2017-04-22T09:06:00Z,SINGLE ARRAY,SINGLE ARRAY,4/21/2014,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2014-01-27,DWOR - Dworshak National Fish Hatchery,DWOR,2014,LC1,32H,Hat. Summer Steelhead,1,1,2013,2017,CRLOL-s
384.3B23956A99,CBB14029.HEV,SC1 - Lower SF Clearwater R at rkm 1,2017-02-26T21:59:00Z,2017-02-26T22:58:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/15/2014,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2014-01-29,DWOR - Dworshak National Fish Hatchery,DWOR,2014,SC1,32H,Hat. Summer Steelhead,1,1,2013,2017,CRSFC-s
384.3B2396B523,CBB14028.HEV,LC1 - Lower Lolo Creek at rkm 21,2017-04-05T14:42:00Z,2017-04-05T14:43:00Z,SINGLE ARRAY,SINGLE ARRAY,4/18/2014,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2014-01-28,DWOR - Dworshak National Fish Hatchery,DWOR,2014,LC1,32H,Hat. Summer Steelhead,1,1,2013,2017,CRLOL-s
384.3B2396B523,CBB14028.HEV,LC2 - Upper Lolo Creek at rkm 25,2017-04-06T10:36:00Z,2017-04-06T10:36:00Z,SINGLE ARRAY,SINGLE ARRAY,4/18/2014,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2014-01-28,DWOR - Dworshak National Fish Hatchery,DWOR,2014,LC2,32H,Hat. Summer Steelhead,1,1,2013,2017,CRLOL-s
384.3B2396ECC8,CBB14029.HEV,SC1 - Lower SF Clearwater R at rkm 1,2017-02-26T18:04:00Z,2017-02-26T19:04:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/15/2014,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2014-01-29,DWOR - Dworshak National Fish Hatchery,DWOR,2014,SC1,32H,Hat. Summer Steelhead,1,1,2013,2017,CRSFC-s
384.3B2396ECC8,CBB14029.HEV,SC2 - Lower SF Clearwater R at rkm 2,2017-02-27T00:29:00Z,2017-02-27T23:30:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/15/2014,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2014-01-29,DWOR - Dworshak National Fish Hatchery,DWOR,2014,SC2,32H,Hat. Summer Steelhead,1,1,2013,2017,CRSFC-s
384.3B239D2F64,CBB14027.HEV,LC1 - Lower Lolo Creek at rkm 21,2017-03-22T15:05:00Z,2017-03-22T15:05:00Z,SINGLE ARRAY,SINGLE ARRAY,4/21/2014,3,Steelhead,2,Summer,H,Hatchery Reared,LOLOC - Lolo Creek,2014-01-27,DWOR - Dworshak National Fish Hatchery,DWOR,2014,LC1,32H,Hat. Summer Steelhead,1,1,2013,2017,CRLOL-s
384.3B239DD459,BDL13309.H17,STL - Sawtooth Hatchery Adult Trap,2017-04-05T16:03:00Z,2017-04-26T15:26:00Z,KEYWAY 3 - OVERFLOW,KEYWAY 1 - OVERFLOW,4/15/2014,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2013-11-05,HAGE - Hagerman NFH,HAGE,2013,STL,32H,Hat. Summer Steelhead,1,11,2013,2017,SRUMA-s
384.3B239E0320,BDL13309.H35,STL - Sawtooth Hatchery Adult Trap,2017-04-23T14:20:00Z,2017-04-23T17:30:00Z,KEYWAY 1 - OVERFLOW,KEYWAY 3 - OVERFLOW,4/25/2014,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2013-11-05,HAGE - Hagerman NFH,HAGE,2013,STL,32H,Hat. Summer Steelhead,1,11,2013,2017,SRUMA-s
