SiteID,SiteType,SiteName,Node,ESU_DPS,MPG,POP_NAME,TRT
18M,INT,Eighteenmile Creek,HECA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
18M,INT,Eighteenmile Creek,HECB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
ACB,INT,Asotin Cr. at Cloverland Brdg.,ACBB0,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake,Asotin Creek,SNASO
ACB,INT,Asotin Cr. at Cloverland Brdg.,ACBA0,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake,Asotin Creek,SNASO
ACM,INT,Asotin Creek near mouth,ACMA0,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake,Asotin Creek,SNASO
ACM,INT,Asotin Creek near mouth,ACMB0,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake,Asotin Creek,SNASO
AFC,INT,No./So. Fk Asotin Cr. Jct. ISA,AFCA0,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake,Asotin Creek,SNASO
AFC,INT,No./So. Fk Asotin Cr. Jct. ISA,AFCB0,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake,Asotin Creek,SNASO
AGC,INT,"Agency Creek, Lemhi R. Basin",AGCA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
AGC,INT,"Agency Creek, Lemhi R. Basin",AGCB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
BHC,INT,Bohannon Creek Lemhi R Basin,BHCA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
BHC,INT,Bohannon Creek Lemhi R Basin,BHCB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
BRC,INT,Bear Valley Adult Video Weir,BRC,Snake River Spring/Summer-run Chinook Salmon ESU,Middle Fork Salmon River,Bear Valley Creek,MFBEA
BSC,INT,Big Sheep Creek ISA at km 6,BSCA0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Big Sheep Creek,IRBSH
BSC,INT,Big Sheep Creek ISA at km 6,BSCB0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Big Sheep Creek,IRBSH
BTL,INT,"Lower Big Timber, Lemhi Basin",BTLA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
BTL,INT,"Lower Big Timber, Lemhi Basin",BTLB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
BTM,INT,Big Timber Creek - Middle,BTMA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
BTM,INT,Big Timber Creek - Middle,BTMB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
BTU,INT,Big Timber Creek - Upper,BTUA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
BTU,INT,Big Timber Creek - Upper,BTUB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
CAC,INT,Canyon Creek ISA @ km 1,CACA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
CAC,INT,Canyon Creek ISA @ km 1,CACB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
CCA,INT,Lower Charley Creek ISA,CCAB0,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake,Asotin Creek,SNASO
CCA,INT,Lower Charley Creek ISA,CCAA0,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake,Asotin Creek,SNASO
CCW,INT,Catherine Creek Ladder/Weir,CCWA0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Catherine Creek,GRCAT
