SiteID,SiteType,SiteName,Node,ESU_DPS,MPG,POP_NAME,TRT
18M,INT,Eighteenmile Creek,HECA0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
18M,INT,Eighteenmile Creek,HECB0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
ACB,INT,Asotin Cr. at Cloverland Brdg.,ACBB0,Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s
ACB,INT,Asotin Cr. at Cloverland Brdg.,ACBA0,Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s
ACM,INT,Asotin Creek near mouth,ACMA0,Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s
ACM,INT,Asotin Creek near mouth,ACMB0,Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s
AFC,INT,No./So. Fk Asotin Cr. Jct. ISA,AFCA0,Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s
AFC,INT,No./So. Fk Asotin Cr. Jct. ISA,AFCB0,Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s
AGC,INT,"Agency Creek, Lemhi R. Basin",AGCA0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
AGC,INT,"Agency Creek, Lemhi R. Basin",AGCB0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
BHC,INT,Bohannon Creek Lemhi R Basin,BHCA0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
BHC,INT,Bohannon Creek Lemhi R Basin,BHCB0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
BRC,INT,Bear Valley Adult Video Weir,BRC,Snake River Basin Steelhead DPS,Salmon River,Middle Fork Salmon River upper mainstem,MFUMA-s
BSC,INT,Big Sheep Creek ISA at km 6,BSCA0,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
BSC,INT,Big Sheep Creek ISA at km 6,BSCB0,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
BTL,INT,"Lower Big Timber, Lemhi Basin",BTLA0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
BTL,INT,"Lower Big Timber, Lemhi Basin",BTLB0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
BTM,INT,Big Timber Creek - Middle,BTMA0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
BTM,INT,Big Timber Creek - Middle,BTMB0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
BTU,INT,Big Timber Creek - Upper,BTUA0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
BTU,INT,Big Timber Creek - Upper,BTUB0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
CAC,INT,Canyon Creek ISA @ km 1,CACA0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
CAC,INT,Canyon Creek ISA @ km 1,CACB0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
CCA,INT,Lower Charley Creek ISA,CCAB0,Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s
CCA,INT,Lower Charley Creek ISA,CCAA0,Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s
CCW,INT,Catherine Creek Ladder/Weir,CCWA0,Snake River Basin Steelhead DPS,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s
CCW,INT,Catherine Creek Ladder/Weir,CCWB0,Snake River Basin Steelhead DPS,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s
CLC,INT,Clear Creek near Kooskia NFH,CLC,Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s
CMP,INT,Camp Creek at rkm 2 - Imnaha,CMPA0,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
CMP,INT,Camp Creek at rkm 2 - Imnaha,CMPB0,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
COC,INT,Cow Creek ISA @ stream mouth,COCA0,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
COC,INT,Cow Creek ISA @ stream mouth,COCB0,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
CRC,INT,"Carmen Creek, Salmon R. Basin",CRCA0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
CRC,INT,"Carmen Creek, Salmon R. Basin",CRCB0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
CRT,INT,Crooked River Satellite Fac.,SC2A0,Snake River Basin Steelhead DPS,Clearwater River,South Fork Clearwater River,CRSFC-s
CZY,INT,Crazyman Creek at 0.6 km,CZYA0,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
CZY,INT,Crazyman Creek at 0.6 km,CZYB0,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
ESS,INT,EFSF Salmon River at Parks Cr.,ESSA0,Snake River Basin Steelhead DPS,Salmon River,South Fork Salmon River,SFMAI-s
ESS,INT,EFSF Salmon River at Parks Cr.,ESSB0,Snake River Basin Steelhead DPS,Salmon River,South Fork Salmon River,SFMAI-s
HEC,INT,Hawley Cr/18 Mile Cr Array,HECA0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
HEC,INT,Hawley Cr/18 Mile Cr Array,HECB0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
HLM,INT,Potlatch River near Helmer,HLMA0,Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s
HLM,INT,Potlatch River near Helmer,HLMB0,Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s
HYC,INT,Hayden Creek In-stream Array,HYCB0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
HYC,INT,Hayden Creek In-stream Array,HYCA0,Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s
IML,INT,Imnaha River Weir Adult Ladder,IMLA0,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
IML,INT,Imnaha River Weir Adult Ladder,IMLB0,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
IR1,INT,Lower Imnaha River ISA @ km 7,IR1,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
IR2,INT,Lower Imnaha River ISA @ km 10,IR2,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
IR3,INT,Upper Imnaha River ISA @ km 41,IR3A0,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
IR3,INT,Upper Imnaha River ISA @ km 41,IR3B0,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
IR4,INT,Imnaha Weir Downstream Array,IR4A0,Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s
