Year,Species,TRT,HNC,n_tags_hnc,cv_hnc,Wild,n_tags_wild,cv_wild,pHOS,pHOS_se,pHOS_cv
2017,Steelhead,CRLOL-s,565,91,0.12017699115044249,126,23,0.107,0.8176555716353111,0.024004794793325998,0.029358076464050028
2017,Steelhead,CRSFC-s,3824,634,0.07024058577405859,499,81,0.083,0.8845708998380755,0.011130758258484585,0.01258322906679625
2017,Steelhead,GRUMA-s,0,0,NaN,579,115,0.06,0,0,NaN
2017,Steelhead,GRJOS-s,0,0,NaN,616,118,0.064,0,0,NaN
2017,Steelhead,GRWAL-s,72,12,0.29305555555555557,459,86,0.068,0.13559322033898305,0.035248733454008856,0.2599594092233153
2017,Steelhead,IRMAI-s,28,4,0.47500000000000003,922,187,0.058,0.029473684210526315,0.013686503324243449,0.46436350564397416
2017,Steelhead,SNASO-s,28,3,0.46016024271941597,313,60,0.072,0.08211143695014662,0.03510998602262865,0.4275894726327275
2017,Steelhead,SRLEM-s,33,5,0.4212121212121212,170,34,0.095,0.1625615763546798,0.05877339199104099,0.3615454113388279
2017,Steelhead,SRPAH-s,134,24,0.19776119402985073,13,2,0.58,0.9115646258503401,0.047993424690394686,0.052649503205134465
2017,Steelhead,SRUMA-s,181,32,0.19116022099447513,76,12,0.305,0.7042801556420234,0.07478191237034874,0.10618205237115816
2017,Steelhead,SFSEC-s,0,0,NaN,73,14,0.254,0,0,NaN
2017,Steelhead,SFMAI-s,11,1,0.6531550889704021,486,84,0.084,0.022132796780684104,0.0142524818741819,0.6439530446789459
2017,Steelhead,CRLMA-s,27,4,0.4703703703703703,273,52,0.076,0.09,0.03903024610620732,0.43366940118008135
2017,Steelhead,SNTUC-s,91,13,0.3131868131868132,302,49,0.089,0.23155216284987276,0.057937137800508486,0.25021203467692127
2017,Steelhead,MFBIG-s,0,0,NaN,69,9,0.18,0,0,NaN
2017,Steelhead,SRLSR-s,0,0,NaN,7,1,0.272,0,0,NaN
2018,Steelhead,CRLOC-s,20,2,0.8699999999999999,357,74,0.086,0.05305039787798409,0.04391835156914981,0.8278609270784739
2018,Steelhead,CRLOL-s,129,27,0.19147286821705425,135,30,0.113,0.48863636363636365,0.05559629823578977,0.1137784708081279
2018,Steelhead,CRSEL-s,16,2,0.6375,305,63,0.093,0.04984423676012461,0.03050775262206284,0.6120617869801358
2018,Steelhead,CRSFC-s,976,197,0.07889344262295082,124,20,0.139,0.8872727272727273,0.015960780851865312,0.017988584976487542
2018,Steelhead,GRUMA-s,0,0,NaN,449,101,0.075,0,0,NaN
2018,Steelhead,GRJOS-s,14,2,0.6071428571428571,751,169,0.066,0.018300653594771243,0.010972117557655703,0.5995478522576152
2018,Steelhead,GRWAL-s,74,16,0.2608108108108108,289,66,0.086,0.20385674931129477,0.044544222797605226,0.21850747129095535
2018,Steelhead,IRMAI-s,17,3,0.4882352941176471,675,155,0.067,0.024566473988439308,0.011809091309676124,0.4806994815468163
2018,Steelhead,SNASO-s,27,2,0.39595000446478756,308,61,0.068,0.08059701492537313,0.02976809649790922,0.3693449009925774
2018,Steelhead,SRLEM-s,13,2,0.5923076923076923,108,25,0.113,0.10743801652892562,0.05782315107884698,0.5382000985031142
2018,Steelhead,SRNFS-s,0,0,NaN,291,12,0.73,0,0,NaN
2018,Steelhead,SRPAH-s,107,26,0.19906542056074766,33,8,0.382,0.7642857142857142,0.07708936603774624,0.100864591077425
2018,Steelhead,SRPAN-s,15,2,0.5866666666666667,82,19,0.124,0.15463917525773196,0.07839748022479888,0.5069703721203661
2018,Steelhead,SRUMA-s,54,10,0.2826607849376418,52,11,0.32,0.5094339622641509,0.10655866385380208,0.20917071052783373
2018,Steelhead,SFSEC-s,0,0,NaN,38,8,0.318,0,0,NaN
2018,Steelhead,SFMAI-s,9,1,0.625586144900411,149,30,0.133,0.056962025316455694,0.03434714470820402,0.6029832070995816
2018,Steelhead,CRLMA-s,22,4,0.4272727272727273,275,61,0.074,0.07407407407407407,0.02974379500677322,0.4015412325914385
2018,Steelhead,SNTUC-s,125,24,0.24080000000000001,477,105,0.078,0.20764119601328904,0.04163329678443253,0.2005059573138271
2018,Steelhead,MFBIG-s,11,1,0.9545454545454546,139,32,0.103,0.07333333333333333,0.06524757500815219,0.8897396592020753
2018,Steelhead,SRLSR-s,0,0,NaN,23,5,0.182,0,0,NaN
2019,Steelhead,CRLOC-s,87,1,1.2850574712643679,456,77,0.152,0.16022099447513813,0.17410277372081023,1.086641449774712
2019,Steelhead,CRSEL-s,123,1,1.2707317073170732,275,50,0.128,0.30904522613065327,0.272720440094363,0.8824612614435486
2019,Steelhead,CRSFC-s,1567,327,0.10510529674537332,154,26,0.17,0.9105171411969785,0.016293362372800598,0.017894624533241754
2019,Steelhead,GRUMA-s,0,0,NaN,406,82,0.118,0,0,NaN
2019,Steelhead,GRJOS-s,20,2,0.865,489,100,0.137,0.03929273084479371,0.03306102092311704,0.8414029824933287
2019,Steelhead,GRLMT-s,0,0,NaN,433,86,0.163,0,0,NaN
2019,Steelhead,GRWAL-s,38,7,0.37894736842105264,654,105,0.231,0.05491329479768786,0.02301291345628919,0.41907726609873996
2019,Steelhead,IRMAI-s,18,3,0.5166666666666667,719,118,0.172,0.024423337856173677,0.012978247278990602,0.531387124700893
2019,Steelhead,SNASO-s,10,1,0.75,324,33,0.319,0.029940119760479042,0.023669299933260023,0.7905546177708848
2019,Steelhead,SREFS-s,51,11,0.3078431372549019,29,7,0.41,0.6375,0.11982556698762685,0.18796167370608136
